bidder_id,outcome,total_bids,total_auctions,bids_per_auction,mean_time_diff,mean_response,min_response,ip_entropy,url_entropy
6e4d22dbabcf2eaae5689c7d155e1c1fev15l,0.0,2,2,1.0,170919.0,150.0,32.0,0.0,0.0
25d75fd439571c1d9b946f5ec833786063vom,0.0,5,4,1.25,326282.75,21.4,9.0,3.1781,3.1781
5354c02817e47f28e60e44a40ca5e48dll4sz,1.0,181,18,10.0556,1390.73,24.442,0.0,128.9531,0.0
d29003d7f3ec1f0e4ca9cc17e6389b4a4phcg,0.0,48,17,2.8235,5243.91,132.9583,0.0,133.6247,112.8643
b37b352197594dae96bb9219bf59d656oz79f,0.0,12,7,1.7143,120449.09,1416.8333,0.0,10.9231,17.5023
9c509838d129fcee98cb3934079ca36asla50,0.0,1,1,1.0,,5.0,5.0,0.0,0.0
99acffc3cd9bfcd00668dbf472a1979350mxk,0.0,1,1,1.0,,8.0,8.0,0.0,0.0
067ff22ebf0d33fe0deedc816d75973865jo7,0.0,330,58,5.6897,3912.49,321.2788,0.0,1378.1146,815.6064
11a38554244f3c14de043aaf52345c35jjqvo,0.0,286,26,11.0,900.55,327.0804,0.0,1277.9498,756.7584
d878560888b11447e73324a6e263fbd5iydo1,0.0,4,3,1.3333,45754.33,25.75,1.0,1.7918,0.0
0b68888358a492884e3885bcd73ea63bhxidk,0.0,4,2,2.0,470405.67,7.75,0.0,1.7918,1.7918
c748f0d69cc89d5812c9fe3a6413bbb26351l,0.0,3,3,1.0,77410.5,270.0,7.0,0.6931,0.6931
eaaae0fb54c7d36724a9679c3128d5a7gn4k5,0.0,4569,275,16.6145,321.48,3662.0842,0.0,31176.0741,13763.3858
322addd5687d99bf69306148e12f87dc5jbsh,0.0,39,18,2.1667,5847.24,198.5641,4.0,99.7901,39.9147
2c581ec91825362ab66a7ffa05df5e70hl3h3,0.0,1,1,1.0,,21.0,21.0,0.0,0.0
0d0b3d6dc27d0f8eed70971f8c6bec1bdrs0f,0.0,100,31,3.2258,14813.01,307.202,0.0,348.2137,126.2929
a22fdc066a738070c6e4860924d06657hengu,0.0,3133,132,23.7348,82.68,183.0521,0.0,17437.654,8063.0194
d6d3daba4bea632d7f5a4e2c5146f109dkd4m,0.0,1,1,1.0,,7.0,7.0,0.0,0.0
1476226300a93d22b15253ed7339429a7ijk0,0.0,380,131,2.9008,3868.61,3533.6984,0.0,1552.7307,501.3714
975dd5178d34453c1c3c8edc47cf44274uv5s,0.0,1245,185,6.7297,1180.28,263.2633,0.0,7194.3873,3694.5056
95fede5853bfffda8f50f6af494ff1d1hsgie,0.0,1,1,1.0,,42.0,42.0,0.0,0.0
2a7d1f9483d34546c4d099e36e3a79790qvjm,0.0,3351,289,11.5952,77.29,418.8077,0.0,22201.3926,10353.3452
d36857d18a397e7e24d05dcbef3b919ftjstv,0.0,31,13,2.3846,7528.23,733.7097,0.0,73.9651,72.1733
c62bac5be6489bc0e0a7834a11167171c8ww3,0.0,45,19,2.3684,29298.84,72.1333,1.0,62.9764,102.9405
98783b6bd490f32f56c315307643c824nimw1,0.0,11,9,1.2222,23148.3,24.3636,1.0,15.1044,10.3169
29cc13d48af9832e0eb481c8a095fec7mom74,0.0,4,4,1.0,346835.33,53.5,2.0,1.7918,0.0
342f22fed8b1e90c6ff1a6b7bd80f6334w094,0.0,2,1,2.0,59454.0,4.5,0.0,0.0,0.0
608d9b68afb12c6c27da6c6565ffe8297wvco,0.0,1,1,1.0,,3.0,3.0,0.0,0.0
c0e1ecd40b81bda3b7dcec501334499dgzq17,0.0,1,1,1.0,,13.0,13.0,0.0,0.0
a1f4d216a1a92507d97166151d7c9fe37bei4,0.0,5,5,1.0,344885.75,249.8,1.0,3.1781,2.4849
5f50c6187a179e2ee7ba2fbcfc845c7a1smgr,0.0,0,0,,,,,0.0,0.0
9434778d2268f1fa2a8ede48c0cd05c097zey,1.0,6540,269,24.3123,224.61,222.9169,0.0,45514.5886,38111.0704
aabc211b4cf4d29e4ac7e7e361371622pockb,1.0,2048,127,16.125999999999998,717.51,1485.8364,0.0,10361.5251,30.4936
e1da7d96b83f16aa80cc254572cc154fcoudy,0.0,718,265,2.7094,2046.53,166.4142,0.0,3925.03,2736.4899
8abc7635daf75f9fbeb63783b7b8ccd5rvuyo,0.0,7,3,2.3333,12897.17,11.4286,0.0,3.4012,3.4012
e97becf0d4632035ad4cd5e65c827d6f0xawy,0.0,11,8,1.375,24474.2,3365.2727,0.0,15.1044,15.1044
848d3eaa622b26fe57d352eedd9649f4v6obv,0.0,7,1,7.0,31341.83,1.5714,0.0,6.5793,4.7875
5686520af5a4215a239418fec906f88e4she5,0.0,8,8,1.0,24693.29,65.75,0.0,8.5252,8.5252
e98d8f348b266653b6784329782fd2e91vu3h,0.0,250,11,22.7273,5885.51,36.9679,0.0,1125.7512,649.3716
68d468e15e0de0bab9694cdca8e799eb2j8kn,1.0,281,26,10.8077,235.15,743.8754,0.0,271.5708,534.7927
64a39f766b2e9d9471b104f0d0289740a9kdq,0.0,2,2,1.0,81339.0,129.0,8.0,0.0,0.0
f60edfe5177cab56896a9d6860995095cl1bb,0.0,3,2,1.5,677011.0,2.6667,0.0,0.6931,0.6931
e3ccc9bd16fa1f4a92fe87b4a54e5e72uficw,0.0,4546,175,25.9771,323.12,95.1473,0.0,30017.4275,3893.9427
481fdbc92e77bba4c9611841a7d74071elwx6,0.0,8,4,2.0,174115.29,9.375,0.0,8.5252,3.7377
72bc07c7241e1856ba31609d11501c91cswlb,0.0,1,1,1.0,,4.0,4.0,0.0,0.0
792edafa0603516a57932e6103e9dd54ajar7,0.0,1,1,1.0,,1153.0,1153.0,0.0,0.0
d738b259ec6e6af625d1f41abcfd63e9e53tx,0.0,158,36,4.3889,9282.25,8337.3782,3.0,619.6931,445.1458
4dd2a50e589cde2802c4bab143dea61ak517w,0.0,3,2,1.5,39219.5,2.3333,0.0,0.6931,0.0
fb92fc925c5df50f4da7874a7542cf2210z1f,0.0,34,17,2.0,6528.91,373.8824,0.0,81.8764,0.0
19815d9bcdc74c3ddfb9ff210c1739f3tup3i,0.0,22,13,1.6923,11946.48,3573.0952,9.0,45.3801,0.0
91dcfc10da696a6d90966ff795751708er5fp,0.0,898,60,14.9667,288.74,69.3931,0.0,5052.2431,4952.9988
bd586db332285f3c45814fbb8f638d79d26u7,0.0,62,44,1.4091,24023.69,157.5968,0.0,190.9473,81.3977
927c5e145de79f9ee2ada0ddc054b4e9hc3qj,0.0,1,1,1.0,,1.0,1.0,0.0,0.0
a3c2ba79963b637f15086e6255a46253lwpnb,0.0,7,6,1.1667,217854.67,45.7143,1.0,6.5793,0.0
bcf95b210295831ff6e20db3a570f909n3q25,0.0,1582,187,8.4599,912.08,95.8892,0.0,9706.4787,6604.0564
85be8fd21f41bc3dee86597d272825726bp69,0.0,172,36,4.7778,8542.5,215.8372,0.0,709.6353,568.475
59ae36080fae26bccbbc31a4505b6fb3v3zjy,0.0,1,1,1.0,,113.0,113.0,0.0,0.0
ef24ca4be7ccbd6ec68d4ea9f47c9e8ex1g09,0.0,3,3,1.0,48748.5,76.3333,20.0,0.6931,0.6931
1cbd9081de4481ada66f1853737f7684ddjd1,1.0,1103,107,10.3084,234.88,1152.7479,0.0,6499.6632,21.0119
e78cb9678684d649453cd5e1e46baf462lq87,0.0,1,1,1.0,,1.0,1.0,0.0,0.0
2307bb06855a6fe75ab56ee6b4a3860835di5,0.0,1,1,1.0,,6.0,6.0,0.0,0.0
6394edfbd35aab54801518835e33ed50hcr5f,0.0,1,1,1.0,,0.0,0.0,0.0,0.0
68600b8922561fe26b8b6acf1d11efdfb24k7,0.0,204,7,29.1429,1210.56,49.4755,0.0,784.5866,274.1367
dadbcec8b02ac75c5935f419b318ceca1wwjw,0.0,1,1,1.0,,0.0,0.0,0.0,0.0
c5babbaace35399cf51a9356bbc22733xpi5h,0.0,8,7,1.1429,28606.43,9736.5,1.0,8.5252,4.9416
09d71d3e6a6871a7598dc2764c5bb4ffkz6mc,0.0,11,9,1.2222,130041.7,102324.4545,17.0,13.7181,0.0
af98b7d5a7c1ccd2968252a2fb1c06f69igbv,0.0,6,3,2.0,31045.6,225.1667,5.0,4.7875,4.7875
96b90af2d3eea4d3b2bc725e1c92e212qu52g,1.0,6127,332,18.4548,239.72,2790.4364,0.0,40503.0481,1007.5599
8e1f8e5907b3cc256a2a57ae9ac81e063gbz4,0.0,3,1,3.0,76205.5,0.6667,0.0,0.6931,0.6931
02bde521e763e4f4e590e8368149e04a96il9,0.0,0,0,,,,,0.0,0.0
6ecd9f4b332eb790dc933aea0a1528e2qkp4y,0.0,4,3,1.3333,11347.67,928.75,52.0,1.0986,0.0
f769b9f92260ecf046efd05bf9ab6822j7c02,0.0,242,122,1.9836,6066.35,119.8264,0.0,1070.1761,761.5758
4c4431ec9b6e683bdc5a3118d5140105r1nas,0.0,1,1,1.0,,4.0,4.0,0.0,0.0
1cd8d86911413c73e92ad1170cae68c3pocsn,0.0,17006,1210,14.0545,86.37,5230.0028,0.0,137415.8605,135469.3087
87aa94042390f9267d3b7d90e42b022ek5mbu,0.0,7,4,1.75,9518.0,3.5714,0.0,6.5793,0.0
bd2cf3a868d168425cf1bde7c49d40b9jq0xu,0.0,1,1,1.0,,1.0,1.0,0.0,0.0
1e342381f2c64318a51a9b71d91897f8dv9ul,0.0,455,59,7.7119,570.5,625.2313,0.0,1982.8372,1587.0997
da6e2a5651b4f44fa3cff41cf9731ff8qc8fl,0.0,1,1,1.0,,7.0,7.0,0.0,0.0
001068c415025a009fee375a12cff4fcnht8y,0.0,1,1,1.0,,73.0,73.0,0.0,0.0
cf33d05860b7f7d9af73c6091190b81ektz1j,0.0,5571,174,32.0172,263.68,60.0208,0.0,37121.8484,15944.8804
9df0b0e5ca66460495931376045feb5fu4y7b,0.0,1,1,1.0,,239.0,239.0,0.0,0.0
d9c6b6d7290e4475bcd6d264fb33a706fqtvc,0.0,1452,201,7.2239,178.52,78.9007,0.0,8603.8568,6252.2302
9ded76c5244a2116a3b5432fa265a800j0bvt,0.0,72,16,4.5,20656.32,189.2361,0.0,233.3154,138.3304
cab0d4e41ea81636de3bd3a1800d8da8x4yca,0.0,113,52,2.1731,2282.44,320.8053,0.0,398.1568,324.7849
53691811bd992911edb9f5f64f49d8f5luk1f,0.0,1,1,1.0,,1.0,1.0,0.0,0.0
0cca10034c58287ee6fbec14a3f96c3546sdh,0.0,10,1,10.0,161700.67,0.9,0.0,12.8018,11.0101
827da66b68b225547050c11df16f845618ptk,0.0,7,6,1.1667,42670.83,17808.0,1.0,6.5793,4.7875
1ae57d217b27820cabf6e24b721bfb38s6ja0,0.0,1,1,1.0,,101.0,101.0,0.0,0.0
7cb144485c703ac09fc73aa646041f72ogqwv,0.0,5,4,1.25,55136.5,111.8,9.0,3.1781,2.4849
577af9ccdc29dcacbbce0f36b7c1ff15btljp,0.0,1,1,1.0,,73.0,73.0,0.0,0.0
21580623ea81c5b0b82aaf74890218e5mio2z,0.0,1,1,1.0,,13.0,13.0,0.0,0.0
6531bde8d4decd9708ff4407ef95e887a26yi,0.0,1,1,1.0,,4.0,4.0,0.0,0.0
ff58ffde976a4899dcd89597a7877e18lntgz,0.0,881,180,4.8944,294.16,100.2705,0.0,4808.6975,2792.2311
806a46eb814ec7a09bfffcf38b0763d344tc3,0.0,4,4,1.0,41238.33,156.5,28.0,1.7918,1.7918
20cb327bff59dc8f4fe1ac68a30f02eb6jrq6,0.0,13,10,1.3,118288.75,844.5385,2.0,19.9872,11.4621
f5a67722732675f6285b70b9f008665fq01bk,0.0,2,2,1.0,72.0,2319.0,1183.0,0.0,0.0
758bd601d6700494300ec1647682eb34vq1zp,0.0,14,12,1.1667,13470.92,50.0,0.0,22.5522,10.8489
80e753fbea14f966b1fc6d1e194d4e66822ms,0.0,226,49,4.6122,1145.77,400.9292,0.0,957.7371,579.5514
d0231e5200b870c055db7e3daae24bc8lt7at,0.0,64,36,1.7778,23196.46,441.625,0.0,178.5372,156.8425
bff9a98b73f2b9a01300d3fd3d55b16b1190o,0.0,121,23,5.2609,12161.92,8411.6529,0.0,455.0398,434.6936
03244a553a252dcc3a3037f0371c8d33fmpd1,0.0,3,3,1.0,6127.5,6.3333,0.0,0.6931,0.6931
28c0d4c81a22958352aa742f7d74e477qwo51,0.0,20,13,1.5385,12804.89,152.35,0.0,39.3399,30.1216
461dc3d03d1e28d52770a4d3dc7db34558fcg,0.0,93,48,1.9375,15923.11,1176.7935,0.0,327.1853,0.0
d27221cf2bfaf0fa7a60ffd3e1e3a53efagvp,0.0,890,120,7.4167,280.6,43.1506,0.0,4789.7858,3397.3391
915ccac760c7359a446100fd1a54bbf6oyrzf,0.0,3341,396,8.4369,439.58,775.3167,0.0,22362.6072,15996.6803
60b8145bcfed7a5f2a23b596a8aff99cdzn4m,0.0,111,17,6.5294,2321.23,48.7477,0.0,408.2433,213.4566
0e66933c924764a59760aaae5368e7d1e0s88,0.0,57,37,1.5405,4600.82,916.7368,0.0,169.8679,126.9727
48117c1e2b56cfc8739f83683e01d9b2aoc66,0.0,24,5,4.8,10031.35,40.0833,0.0,49.8149,31.6195
6086425310e05e77a53317490e8c1f3cxzf2r,0.0,373,19,19.6316,693.27,57.1743,0.0,1407.7635,1224.2617
3073231f45ca50ad6830d4dc7261f283iwjjm,0.0,2,2,1.0,38164.0,72.5,31.0,0.0,0.0
9baf61c813f1d4a09e3c70f6dc741f34voe3n,0.0,5,3,1.6667,23103.5,108.2,0.0,3.1781,0.0
024cf43497fd7381df6254888670f84bwbbam,0.0,3,2,1.5,3822.5,21.3333,1.0,0.6931,0.0
75c4518eba20c9299a3a836d9905c327w6j8b,0.0,1,1,1.0,,64.0,64.0,0.0,0.0
47e0637718480102d235233c83661a7850foh,0.0,6,5,1.2,30802.6,1253.5,1.0,4.7875,4.7875
12d6239a92972a35bc990225b3ab33466znm8,0.0,3,3,1.0,543776.0,64.0,8.0,0.6931,0.6931
d65efaa8129a85f85bf909e5abde8c3628gfv,0.0,10272,616,16.6753,143.0,470.7059,0.0,75230.2381,53675.6458
226017dcd6506ce20886540ff734210d8hib1,0.0,40,13,3.0769,37253.95,135.075,0.0,98.1066,61.0668
5960fc711b544e2617d0f76360b69e2afds2b,0.0,1,1,1.0,,0.0,0.0,0.0,0.0
3b233dc399f175100fb11ff9c66fa5b074z60,0.0,2332,131,17.8015,111.12,252.8009,0.0,15000.3559,11852.5558
ae94687eaad6b410713db9106c42566axgn9n,0.0,3,3,1.0,544052.0,4.0,1.0,0.6931,0.0
15972a431aed117840dfce5556242366c3fwq,1.0,340,51,6.6667,707.08,1468.7784,0.0,704.6522,874.4536
367edc726ba8e667973844395493559dtf2o3,0.0,443,160,2.7688,584.32,396.9253,0.0,2230.3138,1552.6839
d5f997729fd5a0aa13307e027804de515jziv,0.0,828,114,7.2632,1775.7,115.9915,0.0,4666.2684,2823.1176
5b25a86acea5ff395bbd62399bb5cc9bb7h6i,0.0,17,7,2.4286,85484.0,411.7647,8.0,22.1467,13.7757
fc8e62e5fb69ba67265a3d0e3403aa3fr8c2q,0.0,1417,166,8.5361,1037.05,3785.3008,0.0,8174.8954,7152.9083
8c2bdb9dd878a811701838002627a056be0ce,0.0,2073,111,18.6757,125.09,147.6839,0.0,12449.3574,8662.0901
36b84c776aea2e008180dbc72393ed750zsbr,0.0,1,1,1.0,,77.0,77.0,0.0,0.0
9653f425ed82418570fbca890f7032b16sjjd,0.0,310,166,1.8675,4746.32,3520.829,0.0,1430.2697,1106.6434
3edae72a9d44c43524c0203ce38581d1790xh,0.0,1,1,1.0,,1.0,1.0,0.0,0.0
efc61ad6db17265a4bac85f77b154ef414tpp,1.0,4,2,2.0,28804.0,66.75,0.0,1.7918,0.0
a9229b83f54a5f44a69e65b9b3aa7aa26qcon,0.0,8,7,1.1429,193319.29,1494.75,8.0,8.5252,4.654
dc52611b1a2c84c0949da5af9870d57fj6ab0,0.0,6,5,1.2,16875.4,32.0,1.0,4.7875,2.9957
671fb1e314a1f480ba9ad9b5a1cf6a91w1k2f,0.0,88,38,2.3158,16816.01,76.0575,0.0,303.9937,243.4252
5106dcca581b63cf2226110a9048ee4846sxb,0.0,1,1,1.0,,1.0,1.0,0.0,0.0
b27db6c048fa41b496dfd3423226bb0923yfv,0.0,5,2,2.5,46640.75,2.4,0.0,3.1781,3.1781
91d9b706f63537c5fc0027c50b0e3b06qpdgz,0.0,36,4,9.0,40138.06,67.9444,0.0,92.1362,0.0
2e3b450b727fe3e888c85d52251fd33ffoi4b,0.0,54,41,1.3171,27053.87,7907.1887,6.0,157.1531,143.9946
ca76df527977e5168e1b3352cfab2ed9htipb,0.0,6,6,1.0,2329.4,23.8333,1.0,4.7875,4.7875
8d43ad48f315364be4d979d2e9d5ee67quqyi,0.0,31,10,3.1,42718.97,84.9355,0.0,19.8735,13.3965
68f092336430866db606f137c57c87e0hw7aq,0.0,1121,204,5.4951,1309.66,2897.2429,0.0,6587.3066,3168.1418
acf06eabed56f179cf32ab60b6b076820ajls,0.0,12,5,2.4,128992.91,58.1667,0.0,17.5023,8.284
22fb740f267ac617118261b2fd3365batisfg,0.0,63,16,3.9375,4087.85,3461.2586,0.0,194.7867,150.0997
7264bde42ef4fe3fa19cc7c6d64696cf7pqtd,0.0,26332,357,73.7591,55.78,78.7461,0.0,218021.8387,105134.9758
961ab8cb7952191816db53f8a11a35fe1zecm,0.0,44,14,3.1429,5652.6,538.9773,0.0,120.8399,116.7456
99fc8ed25265e58bc94d9d95180badf4t2e3i,0.0,303,51,5.9412,4856.26,25.6601,0.0,1415.6906,539.5584
74ecf5f9adfa4dcca4dcf020209db81arynmk,0.0,5,4,1.25,326761.25,45.4,4.0,3.1781,1.3863
3d9910a238a0f282ad3132dd6fc981c8tv3tg,1.0,923,55,16.7818,183.64,883.7367,1.0,5376.407,0.0
f90f13ddfc0f98cbe3c2346a2e30093cq6zo0,0.0,5,4,1.25,26882.5,1842.2,2.0,2.4849,1.3863
10383b390780e7b4b03dc32c94b4973f66wou,0.0,5,5,1.0,39109.75,678.4,1.0,3.1781,3.1781
fae963b2adbefc663692d7feddb50d5dxz1hn,0.0,2,1,2.0,3.0,96.0,3.0,0.0,0.0
19353c42feb91a216885fe012efdfb11s2iu8,0.0,7,4,1.75,28942.17,10.1429,0.0,6.5793,5.8861
fdd836950d203286832a21b930b9f6b58ch7s,0.0,456,135,3.3778,3220.97,231.2115,0.0,2222.7456,1861.3417
20ebb9de648c6df989f04d07cf273c7b3yu8c,0.0,2523,30,84.1,43.68,72.1103,0.0,0.0,0.0
17eeec8676ad56bfead1a9406277f41cnev3n,0.0,5677,524,10.834000000000001,258.73,391.8801,0.0,40857.6589,28589.8655
2c72df02de4b36acf72ba549630808612ol08,0.0,7,4,1.75,36468.67,40.0,3.0,5.8861,5.8861
6cd1bd77bbf2af6a2c6e535192af628by3h22,0.0,1,1,1.0,,1.0,1.0,0.0,0.0
dd661e2d6e79a5b3e66c82373d50f3ee86k85,0.0,0,0,,,,,0.0,0.0
db83d746ba8e0c388805fa3fcb235743vfqmw,0.0,81,11,7.3636,20.44,17.5556,0.0,273.6731,0.0
8e2a43abb8fcd8ef9801c69fc04bfcb5kyc41,0.0,78,12,6.5,18814.74,3641.4342,0.0,69.4519,132.4526
090c77ac89c7063f0d0ce064ce3cb3afllf5h,0.0,1,1,1.0,,0.0,0.0,0.0,0.0
01c5692d487454cdbe731df330bef608f48zz,0.0,82,19,4.3158,17080.1,5.9024,0.0,219.0062,145.0724
3be127c56b2de21dfcf2836f20afe249hqkxy,0.0,3,3,1.0,33.5,303.6667,82.0,0.0,0.0
8126928a319468b6da5edce4097d2398xwita,0.0,88,3,29.3333,1161.43,1.8523,0.0,303.9937,81.1405
520b616c26fc47935f6bcd5ec063eaa7w15t8,0.0,4,4,1.0,450036.67,14300.5,3.0,1.7918,1.7918
f80075873f7183a03b1b10ac3f740032v6w99,0.0,493,97,5.0825,522.4,541.252,0.0,2440.7859,918.2317
85155ae64ccbde01b48fbf4b3f1b739exmqyu,0.0,15,6,2.5,100077.21,43.6667,0.0,25.1912,18.612
2c31770e98fc9fc7e0f1fee6207b5600c0e10,0.0,1589,110,14.4455,68.07,213.6803,0.0,8215.1207,6631.6621
e613acb1029ecafd9792c9f75d468e4bmm9zn,0.0,6,6,1.0,35565.0,20.5,0.0,4.7875,4.7875
74fc24cafc7c5936d0422b8da306365byjv2b,0.0,4,3,1.3333,38828.33,57.5,0.0,1.7918,1.7918
c7d335bf99b9c71fb22797ecbd78b92ashv4h,0.0,214,101,2.1188,1208.08,1510.2019,0.0,924.8128,688.9637
de9f5df5962dc171c7d82ab503c36dbfwicon,0.0,45,22,2.0455,5302.48,548.6591,1.0,122.1392,0.0
1053ead33eb1a5db7c36c979a455348abh9ns,0.0,2,2,1.0,16256.0,881.5,194.0,0.0,0.0
cf22da37578048d2e51eca1e544c693cke5t3,0.0,129,23,5.6087,1430.73,636.4031,1.0,71.4891,256.81
a94c16f8a98e493e2b4390b1975e690dv8cmu,0.0,1,1,1.0,,2.0,2.0,0.0,0.0
2515c5fd81638d5d0bca39a2b2be3995tante,0.0,211,41,5.1463,1230.45,1016.7299,1.0,912.6143,404.3472
f63ed13362ce1c80970ba28a095c2bc5kfgmr,0.0,68,47,1.4468,21341.97,15150.1912,0.0,212.4794,181.259
c48fd9c589f273945bad5f0cea5993ba2fet4,0.0,433,108,4.0093,543.86,1677.6597,0.0,1758.1241,525.4364
7f807b2eb6c391d55e67bcdf7e1cbb3fhylw0,0.0,1515,334,4.5359,969.67,267.3413,0.0,9210.5901,3910.4372
f186d292f4e83f70a92c97f92993f655ygqzw,0.0,9,8,1.125,24957.12,29.4444,0.0,9.9115,4.0254
4955e2c318d0bdca797ce17794ba18fblhaau,0.0,5466,68,80.3824,47.41,68.3034,0.0,38191.551,28640.7871
1af4685cda2979a608c4b6ad83473774qgicn,1.0,6002,552,10.8732,43.15,218.2407,0.0,43356.7645,29672.9177
e909515a6ae94a86027c717c4085954akbpt2,0.0,1088,165,6.5939,238.13,274.4747,0.0,5692.6713,3608.478
27809fd62bebc89be450f9dcbdd25ed8il6z2,0.0,358,143,2.5035,4110.93,582.2661,0.0,1679.4261,1178.5893
1880a778c9dd0cb15ca1f052308a8e04g7e35,0.0,3,2,1.5,45561.0,199.0,17.0,0.6931,0.0
068450aafae2a6e390e35925d964290cdliqf,0.0,1,1,1.0,,6.0,6.0,0.0,0.0
eaac863aaf84acb7529462118e7953c3oeky6,0.0,2,2,1.0,190.0,18.0,1.0,0.0,0.0
ea0e5f7d93f2220a62bde8067f26daaa7oxgf,0.0,20,12,1.6667,75681.63,359.05,6.0,30.8147,5.8348
8ec8add138ed551bd5a9175eae0cb972ie0pk,0.0,82,34,2.4118,3166.16,1491.0875,3.0,225.1814,62.8619
e561facfea467ea124df0111e041287ctvgwn,0.0,1,1,1.0,,1.0,1.0,0.0,0.0
88103add66b7113729a9ca82540684c9il94h,0.0,1,1,1.0,,15.0,15.0,0.0,0.0
6a87cc9dacae884e817de2ee08452e76dx9mn,0.0,1,1,1.0,,113.0,113.0,0.0,0.0
4741959d26f99012b8a6a3e3954eae40hsy6j,0.0,1,1,1.0,,6.0,6.0,0.0,0.0
ef9ce9b85309d7d1044ce57055705bae8pqlg,0.0,455,168,2.7083,3226.09,3228.0549,0.0,2125.1552,463.164
8b4071f3e2702b88481054081363bc15her3f,0.0,2322,30,77.4,47.47,104.231,0.0,0.0,0.0
33031f476dec19fe47c0e3a051a68e992hmwv,0.0,1,1,1.0,,56.0,56.0,0.0,0.0
5948bcd0f773286ff7d5cde332c7ae6918jt6,0.0,303,64,4.7344,4848.41,72.0858,0.0,1373.1957,1029.1176
72dd0e4788d25f62cc2ba942bb9499dc7quqj,0.0,47,27,1.7407,5213.93,78.8511,0.0,132.2594,76.8953
3a5420301c0dacbc5675f6f09aac0143tuodl,0.0,10799,357,30.2493,136.02,180.3949,0.0,82538.0727,49197.9207
e0413f338c43c9d55ba53612d2068f65t4gs6,0.0,734,233,3.1502,353.25,557.1354,0.0,3992.9421,2874.6678
d6ebcf2149c311d221b233b268870b3d5gfe2,0.0,5,5,1.0,10918.75,357.8,1.0,2.4849,2.4849
b8e47f06aef714b37073e72ac40a8100mew9c,0.0,16,15,1.0667,15904.33,58.75,0.0,27.8993,20.6269
f0c356e136831c41884b0732ae3198e0gcy8w,0.0,79,32,2.4688,18795.28,461.4177,0.0,260.3573,249.9068
c76f30b8330b6d14fb872b30fcfd9d57phbsf,0.0,71,9,7.8889,3592.21,1185.8732,7.0,0.0,57.3931
dd055846eb553ab8e953b084f2048d53bdqec,0.0,48018,406,118.2709,5.4,331.6534,0.0,369490.8938,15512.8882
6a76d66f035914f93ebc725a0998b399r4gdq,0.0,2,2,1.0,14875.0,52.0,12.0,0.0,0.0
2736ee274114e9440463bde9fbffacaa5xky5,0.0,1,1,1.0,,2.0,2.0,0.0,0.0
d6d68e218a6cafa246ed31185b09e1e1fsu8x,0.0,4,3,1.3333,1496.0,2218.5,697.0,0.0,0.0
666e1e141862a646afaa2b71fc7d2c25r1b4h,0.0,14,9,1.5556,19658.38,180.2143,4.0,22.5522,21.859
2918b09c1ed9e9e8602f85175b266aeej5v6w,0.0,86,23,3.7391,2683.75,221.6977,0.0,290.5091,57.6474
